000022.XSHE,15564596442.0
000042.XSHE,10457793816.0
000065.XSHE,9095553952.0
000088.XSHE,14178060000.0
000090.XSHE,11714342532.0
000151.XSHE,5259564600.0
000157.XSHE,32812942396.0
000159.XSHE,2193995181.0
000400.XSHE,11424348411.0
000425.XSHE,27330137855.0
000498.XSHE,6832848284.0
000507.XSHE,7169031545.0
000528.XSHE,10014655010.0
000564.XSHE,28717418944.0
000582.XSHE,11896727417.0
000610.XSHE,2348539178.0
000617.XSHE,121093057464.0
000672.XSHE,9942434824.0
000680.XSHE,5409833984.0
000703.XSHE,42875517656.0
000777.XSHE,5287328607.0
000797.XSHE,9079049396.0
000852.XSHE,4952745673.0
000862.XSHE,2718558138.0
000877.XSHE,11158412284.0
000905.XSHE,5182560000.0
000928.XSHE,6873946293.0
000939.XSHE,19608681515.0
000978.XSHE,2740361000.0
600026.XSHG,21772977449.0
600028.XSHG,784541438506.0
600031.XSHG,60548754756.0
600068.XSHG,40383897903.0
600089.XSHG,32761914599.0
600105.XSHG,5417079177.0
600118.XSHG,27256374562.0
600125.XSHG,11488592491.0
600150.XSHG,26266921418.0
600170.XSHG,33302447503.0
600176.XSHG,45354873697.0
600179.XSHG,17365801155.0
600190.XSHG,7628730615.0
600202.XSHG,3296729779.0
600256.XSHG,25668363459.0
600279.XSHG,4109244332.0
600312.XSHG,12293707060.0
600317.XSHG,19677868329.0
600320.XSHG,22610017108.0
600339.XSHG,22779241682.0
600350.XSHG,27760426995.0
600368.XSHG,4377458043.0
600406.XSHG,70635125231.0
600425.XSHG,4977432210.0
600428.XSHG,10196591162.0
600449.XSHG,5527772846.0
600477.XSHG,12562204430.0
600487.XSHG,51304332898.0
600495.XSHG,6391329787.0
600509.XSHG,6724263699.0
600522.XSHG,37651370558.0
600528.XSHG,25658920841.0
600540.XSHG,2222758037.0
600580.XSHG,11316538365.0
600581.XSHG,10040481049.0
600583.XSHG,27323972664.0
600706.XSHG,3157575183.0
600717.XSHG,16312251229.0
600720.XSHG,7995789905.0
600778.XSHG,1554341846.0
600798.XSHG,5174871759.0
600801.XSHG,22313812743.0
600820.XSHG,22763255721.0
600888.XSHG,4759819650.0
600984.XSHG,4081658541.0
002040.XSHE,4229125269.0
600970.XSHG,15683065876.0
002047.XSHE,9885358308.0
002051.XSHE,17949044878.0
600017.XSHG,11318406308.0
600018.XSHG,163374406283.0
601872.XSHG,19713984177.0
601008.XSHG,4324816330.0
002135.XSHE,6827054520.0
601919.XSHG,60173855963.0
002146.XSHE,43568601787.0
601808.XSHG,53871273680.0
601857.XSHG,1398280270530.0
601390.XSHG,168362502372.0
601866.XSHG,35516700000.0
002205.XSHE,2003622311.0
002207.XSHE,1863191775.0
601186.XSHG,132807915870.0
601668.XSHG,259800000000.0
002266.XSHE,8429346557.0
601766.XSHG,288423584084.0
601727.XSHG,87467573459.0
601989.XSHG,124237277309.0
002302.XSHE,19566491712.0
002307.XSHE,5939390063.0
002309.XSHE,12497614672.0
601618.XSHG,78749752846.0
601117.XSHG,36356210000.0
300011.XSHE,5586503870.0
002323.XSHE,5302137854.0
002353.XSHE,14358231340.0
601179.XSHG,21374929408.0
601106.XSHG,23865084586.0
002459.XSHE,4846956207.0
300090.XSHE,12196364999.0
300103.XSHE,3739222440.0
601018.XSHG,70079550344.0
002475.XSHE,76722225923.0
601028.XSHG,6084110155.0
002554.XSHE,4197575200.0
002738.XSHE,5375483750.0
601880.XSHG,32623176077.0
002524.XSHE,3196163280.0
300183.XSHE,8653701369.0
601789.XSHG,3923841600.0
300208.XSHE,8535603750.0
300262.XSHE,5242389578.0
601669.XSHG,102656525011.0
601800.XSHG,207845350211.0
603333.XSHG,3130430100.0
603308.XSHG,6571378266.0
300351.XSHE,6222931746.0
603111.XSHG,11164416440.0
600023.XSHG,75211815634.0
300523.XSHE,9126720000.0
300374.XSHE,3447690965.0
603969.XSHG,5456000000.0
603569.XSHG,8920223000.0
603338.XSHG,11758517179.0
603018.XSHG,5864932356.0
603169.XSHG,7654938389.0
002828.XSHE,2784652500.0
603036.XSHG,3202920000.0
603298.XSHG,9115722071.0
603966.XSHG,2372800000.0
603218.XSHG,7943810000.0
601228.XSHG,33938626400.0
600326.XSHG,7684614449.0
603588.XSHG,7562220695.0
603619.XSHG,15112003778.0
600219.XSHG,29418507206.0
300065.XSHE,6540254545.0
002742.XSHE,7166880000.0
600415.XSHG,29121195842.0
603871.XSHG,5440800000.0
300732.XSHE,5860800000.0
600338.XSHG,21111724813.0
600010.XSHG,99375371173.0
600039.XSHG,13719996938.0
601899.XSHG,100185802176.0
002800.XSHE,2048472400.0
601500.XSHG,6338734421.0
300589.XSHE,2351443770.0
